id,timestamp,market_ticker,platform,market_type,event_slug,direction,entry_price,size,model_probability,market_price_at_entry,edge_at_entry,settled,settlement_time,settlement_value,result,pnl
1,2026-04-27 01:41:21,2081630,polymarket,btc,btc-updown-5m-1777254300,up,0.505000,75.000000,0.600053,0.505000,0.095053,True,2026-04-27 02:03:23,1.000000,win,37.120000
2,2026-04-27 01:41:21,2081643,polymarket,btc,btc-updown-5m-1777254600,up,0.505000,75.000000,0.600053,0.505000,0.095053,True,2026-04-27 02:03:23,0.000000,loss,-37.880000
3,2026-04-27 02:24:27,2081761,polymarket,btc,btc-updown-5m-1777256700,down,0.495000,75.000000,0.421661,0.505000,0.083339,True,2026-04-27 02:34:26,1.000000,loss,-37.120000
4,2026-04-27 02:24:27,2081779,polymarket,btc,btc-updown-5m-1777257000,down,0.495000,75.000000,0.421661,0.505000,0.083339,True,2026-04-27 02:38:26,0.000000,win,37.880000
5,2026-04-27 02:27:27,2081822,polymarket,btc,btc-updown-5m-1777257600,down,0.495000,75.000000,0.422251,0.505000,0.082749,True,2026-04-27 02:48:26,0.000000,win,37.880000
6,2026-04-27 02:31:27,2081818,polymarket,btc,btc-updown-5m-1777257300,up,0.485000,75.000000,0.571399,0.485000,0.086399,True,2026-04-27 02:44:26,0.000000,loss,-36.380000
7,2026-04-27 02:36:27,2081852,polymarket,btc,btc-updown-5m-1777257900,down,0.495000,75.000000,0.416002,0.505000,0.088998,True,2026-04-27 02:54:26,1.000000,loss,-37.120000
8,2026-04-27 02:55:27,2081936,polymarket,btc,btc-updown-5m-1777258800,up,0.505000,75.000000,0.585688,0.505000,0.080688,True,2026-04-27 03:08:26,1.000000,win,37.120000
9,2026-04-27 02:55:27,2081964,polymarket,btc,btc-updown-5m-1777259400,up,0.505000,75.000000,0.585688,0.505000,0.080688,True,2026-04-27 03:20:26,1.000000,win,37.120000
10,2026-04-27 03:52:29,2082286,polymarket,btc,btc-updown-5m-1777262100,down,0.495000,75.000000,0.422766,0.505000,0.082234,True,2026-04-27 04:06:28,0.000000,win,37.880000
11,2026-04-27 03:52:29,2082826,polymarket,btc,btc-updown-5m-1777262400,down,0.495000,75.000000,0.422766,0.505000,0.082234,True,2026-04-27 04:12:28,1.000000,loss,-37.120000
12,2026-04-27 04:06:22,2082895,polymarket,btc,btc-updown-5m-1777263000,down,0.495000,75.000000,0.417757,0.505000,0.087243,True,2026-04-27 04:22:28,0.000000,win,37.880000
